Categoría,Correo,Asunto,Message
ham,sofia64@outlook.es,Babe! I fucking love you...,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,secretaria73@gmail.com,K sure am in my...,K sure am in my relatives home. Sms me de. Pls:-)
ham,secretaria37_2@hotmail.com,I sent them. Do you...,I sent them. Do you like?
ham,secretaria10_2@uni.edu,Fuuuuck I need to stop...,"Fuuuuck I need to stop sleepin, sup"
ham,profesor_x24_2@uni.edu,I'm in town now so...,I'm in town now so i'll jus take mrt down later.
ham,jefe28_1@uni.edu,I just cooked a rather...,I just cooked a rather nice salmon a la you
ham,sofia25@uni.edu,I uploaded mine to Facebook,I uploaded mine to Facebook
ham,secretaria43_3@uni.edu,WHAT TIME U WRKIN?,WHAT TIME U WRKIN?
ham,ana60@uni.edu,Okie,Okie
spam,soporte_tecnico_140@actualizacion-sistema.com,Important Notification: Review Your Offer (ID: 700),ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
spam,noresponder_128@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 701),Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
ham,profesor_x94_2@trabajo.com,"Sorry, I'll call later","Sorry, I'll call later"
ham,secretaria49_3@gmail.com,Oh oh... Den muz change...,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
ham,profesor_x41_3@outlook.es,"It's wylie, you in tampa...","It's wylie, you in tampa or sarasota?"
ham,jefe54_2@trabajo.com,Ok... Take ur time n...,Ok... Take ur time n enjoy ur dinner...
ham,secretaria38_2@outlook.es,Darren was saying dat if...,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
spam,noresponder_129@notificacion-urgente.org,Exclusive Free Offer! (ID: 702),"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
ham,ana73_2@hotmail.com,I like cheap! But i‘m...,I like cheap! But i‘m happy to splash out on the wine if it makes you feel better..
ham,luis40_2@hotmail.com,She.s fine. I have had...,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
ham,luis84_1@uni.edu,Ugh my leg hurts. Musta...,Ugh my leg hurts. Musta overdid it on mon.
spam,servicio_seguridad_153@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 703),Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
spam,noresponder_130@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 704),"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,secretaria19_2@trabajo.com,WOT STUDENT DISCOUNT CAN U...,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
ham,luis41_1@gmail.com,Me fine..absolutly fine,Me fine..absolutly fine
ham,profesor_x32_1@outlook.es,How come she can get...,How come she can get it? Should b quite diff to guess rite...
spam,servicio_seguridad_154@alerta-oficial.net,Exclusive Free Offer! (ID: 705),Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
ham,jefe68_1@hotmail.com,I will reach ur home...,I will reach ur home in  &lt;#&gt;  minutes
ham,sofia64_1@gmail.com,"Babe, I'm answering you, can't...","Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
ham,profesor_x37_3@uni.edu,Hi.what you think about match?,Hi.what you think about match?
ham,secretaria92_2@gmail.com,I know you are thinkin...,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,ana28_1@outlook.es,Dai i downloaded but there...,Dai i downloaded but there is only exe file which i can only run that exe after installing.
ham,profesor_x65@gmail.com,It is only yesterday true...,It is only yesterday true true.
ham,ana92_2@trabajo.com,K.k.how is your business now?,K.k.how is your business now?
ham,ana70_2@trabajo.com,3 pa but not selected.,3 pa but not selected.
spam,paypal_support_140@pago-pendient.biz,New Spam Message - Important (ID: 706),Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
ham,secretaria27_2@outlook.es,I keep ten rs in...,I keep ten rs in my shelf:) buy two egg.
ham,jefe28_2@uni.edu,I am late. I will...,I am late. I will be there at
ham,jefe66@hotmail.com,Well thats nice. Too bad...,Well thats nice. Too bad i cant eat it
ham,jefe43_2@gmail.com,I accidentally brought em home...,I accidentally brought em home in the box
ham,luis10@trabajo.com,Pls she needs to dat...,Pls she needs to dat slowly or she will vomit more.
ham,carlos82_1@hotmail.com,I have to take exam...,I have to take exam with in march 3
ham,secretaria16_1@hotmail.com,Jane babes not goin 2...,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
ham,luis92_2@gmail.com,5 nights...We nt staying at...,5 nights...We nt staying at port step liao...Too ex
ham,profesor_x97_1@outlook.es,If I die I want...,If I die I want u to have all my stuffs.
ham,ana93_2@uni.edu,OH FUCK. JUSWOKE UP IN...,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX
ham,secretaria82@gmail.com,Smile in Pleasure Smile in...,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,ana12_4@uni.edu,Prabha..i'm soryda..realy..frm heart i'm sory,Prabha..i'm soryda..realy..frm heart i'm sory
ham,sofia38_2@gmail.com,I re-met alex nichols from...,I re-met alex nichols from middle school and it turns out he's dealing!
spam,servicio_seguridad_155@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 707),PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
ham,luis53@gmail.com,It means u could not...,It means u could not keep ur words.
ham,secretaria47_3@uni.edu,"Nope, I'm still in the...","Nope, I'm still in the market"
ham,profesor_x12_2@outlook.es,I realise you are a...,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
spam,noresponder_131@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 708),YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,secretaria43_3@outlook.es,Hey what how about your...,Hey what how about your project. Started aha da.
ham,secretaria20_1@outlook.es,Ok cool. See ya then.,Ok cool. See ya then.
ham,jefe73_3@outlook.es,Am on the uworld site....,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
ham,jefe80_1@uni.edu,Your opinion about me? 1....,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
spam,servicio_seguridad_156@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 709),Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
ham,secretaria35@hotmail.com,Yeah I can still give...,Yeah I can still give you a ride
ham,jefe33_3@uni.edu,Jay wants to work out...,"Jay wants to work out first, how's 4 sound?"
ham,secretaria36@uni.edu,"Gud gud..k, chikku tke care.....","Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,luis35_1@uni.edu,Its a part of checking...,Its a part of checking IQ
ham,secretaria36_2@trabajo.com,Hmm thinking lor...,Hmm thinking lor...
ham,luis28@hotmail.com,Of course ! Don't tease...,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
ham,luis43_1@gmail.com,thanks for the temales it...,thanks for the temales it was wonderful. Thank. Have a great week.
ham,secretaria49_2@hotmail.com,Thank you princess! I want...,Thank you princess! I want to see your nice juicy booty...
ham,sofia24_1@trabajo.com,Haven't eaten all day. I'm...,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
ham,jefe14_1@trabajo.com,Gud ni8 dear..slp well..take care..swt...,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,secretaria29_2@trabajo.com,U come n search tat...,U come n search tat vid..not finishd..
ham,profesor_x36_1@trabajo.com,"K I'm leaving soon, be...","K I'm leaving soon, be there a little after 9"
spam,ganador_loto_139@felicidades.info,URGENT ALERT: Immediate Action Required (ID: 710),Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
ham,ana88_3@gmail.com,"Yeah work is fine, started...","Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
ham,carlos88_2@gmail.com,You do your studies alone...,You do your studies alone without anyones help. If you cant no need to study.
ham,luis90@uni.edu,Please tell me not all...,Please tell me not all of my car keys are in your purse
ham,jefe21_1@hotmail.com,I didnt get anything da,I didnt get anything da
ham,ana18@gmail.com,Ok... Sweet dreams...,Ok... Sweet dreams...
ham,secretaria16@outlook.es,Well she's in for a...,Well she's in for a big surprise!
ham,ana23_1@uni.edu,"As usual..iam fine, happy &amp;...","As usual..iam fine, happy &amp; doing well..:)"
ham,carlos95@gmail.com,1 in cbe. 2 in...,1 in cbe. 2 in chennai.
ham,profesor_x92_1@outlook.es,Can help u swoop by...,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,profesor_x28_1@outlook.es,If anyone calls for a...,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
ham,ana48_2@gmail.com,I absolutely LOVE South Park!...,I absolutely LOVE South Park! I only recently started watching the office.
ham,ana21_1@hotmail.com,Did you see that film:),Did you see that film:)
ham,secretaria51@uni.edu,Pls speak with me. I...,Pls speak with me. I wont ask anything other then you friendship.
ham,secretaria81_2@hotmail.com,Storming msg: Wen u lift...,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
ham,jefe61_3@outlook.es,Gud ni8.swt drms.take care,Gud ni8.swt drms.take care
ham,carlos97_1@trabajo.com,HI DARLIN ITS KATE ARE...,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,profesor_x21_1@trabajo.com,Anything lar then ü not...,Anything lar then ü not going home 4 dinner?
ham,secretaria46_4@outlook.es,"ER, ENJOYIN INDIANS AT THE...","ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"
spam,paypal_support_141@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 711),"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
ham,jefe40_2@hotmail.com,Did u fix the teeth?if...,Did u fix the teeth?if not do it asap.ok take care.
ham,carlos60_3@outlook.es,So u wan 2 come...,So u wan 2 come for our dinner tonight a not?
ham,ana63_1@hotmail.com,Hello.How u doing?What u been...,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
ham,secretaria47_2@gmail.com,Its too late:)but its k.wish...,Its too late:)but its k.wish you the same.
ham,carlos47_4@outlook.es,Hi. Hope ur day *...,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
ham,luis61_2@uni.edu,Oh yeah clearly it's my...,Oh yeah clearly it's my fault
ham,sofia11@gmail.com,Dunno leh cant remember mayb...,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
ham,sofia94_1@uni.edu,Best msg: It's hard to...,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
spam,servicio_seguridad_157@alerta-oficial.net,Congratulations! You Have Won a Prize (ID: 712),URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,secretaria12_1@trabajo.com,"Helloooo... Wake up..! ""Sweet"" ""morning""...","Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
ham,profesor_x49@trabajo.com,"Vikky, come around &lt;TIME&gt; ..","Vikky, come around  &lt;TIME&gt; .."
ham,profesor_x27_3@uni.edu,And how you will do...,"And how you will do that, princess? :)"
ham,carlos69@trabajo.com,I have gone into get...,I have gone into get info bt dont know what to do
ham,ana66_4@hotmail.com,"Yeah, probably here for a...","Yeah, probably here for a while"
ham,carlos39_1@uni.edu,Sent me ur email id...,Sent me ur email id soon
spam,soporte_tecnico_141@actualizacion-sistema.com,Congratulations! You Have Won a Prize (ID: 713),"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,carlos17_2@gmail.com,I'm still pretty weak today...,I'm still pretty weak today .. Bad day ?
ham,jefe12@outlook.es,Hey ! Don't forget ......,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,secretaria98_2@hotmail.com,An excellent thought by a...,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)
ham,carlos63_1@gmail.com,Hey! Congrats 2u2. id luv...,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
ham,ana73@gmail.com,Dear where you. Call me,Dear where you. Call me
ham,secretaria46_1@gmail.com,Xy trying smth now. U...,Xy trying smth now. U eat already? We havent...
spam,soporte_tecnico_142@actualizacion-sistema.com,URGENT ALERT: Immediate Action Required (ID: 714),Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
ham,ana97_2@uni.edu,I donno its in your...,I donno its in your genes or something
spam,soporte_tecnico_143@actualizacion-sistema.com,Exclusive Free Offer! (ID: 715),XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
ham,luis98_2@hotmail.com,Alex says he's not ok...,Alex says he's not ok with you not being ok with it
ham,jefe61_1@gmail.com,Are u coming to the...,Are u coming to the funeral home
ham,profesor_x22_4@outlook.es,My darling sister. How are...,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
ham,secretaria44_3@gmail.com,I.ll hand her my phone...,I.ll hand her my phone to chat wit u
ham,sofia76_1@gmail.com,Well good morning mr ....,Well good morning mr . Hows london treatin' ya treacle?
ham,carlos51_3@outlook.es,I can't make it tonight,I can't make it tonight
ham,secretaria94_1@outlook.es,At WHAT TIME should i...,At WHAT TIME should i come tomorrow
ham,jefe77_4@outlook.es,About &lt;#&gt; bucks. The banks...,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
ham,secretaria89_2@uni.edu,I can. But it will...,"I can. But it will tell quite long, cos i haven't finish my film yet..."
ham,ana10_1@gmail.com,Pls ask macho how much...,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
ham,sofia85_4@uni.edu,Hi missed your Call and...,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?
ham,luis73_1@gmail.com,Ill be at yours in...,Ill be at yours in about 3 mins but look out for me
ham,ana23_1@outlook.es,What you did in leave.,What you did in  leave.
ham,carlos46_2@trabajo.com,I'm coming back on Thursday....,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,sofia47_1@outlook.es,"Jolly good! By the way,...","Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x"
ham,profesor_x64_5@outlook.es,"yeah, that's what I was...","yeah, that's what I was thinking"
ham,profesor_x57_3@gmail.com,K.k:)i'm going to tirunelvali this...,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,sofia35_1@uni.edu,Here got ur favorite oyster......,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
ham,jefe79_3@hotmail.com,My sister going to earn...,My sister going to earn more than me da.
spam,soporte_tecnico_144@actualizacion-sistema.com,New Spam Message - Important (ID: 716),Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
ham,ana76_1@hotmail.com,Hahaha..use your brain dear,Hahaha..use your brain dear
ham,sofia95_1@outlook.es,Jus finish watching tv... U?,Jus finish watching tv... U?
ham,sofia64_2@gmail.com,"K, fyi I'm back in...","K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else"
ham,ana74_4@outlook.es,"Good morning, my Love ......","Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*"
ham,ana46@uni.edu,Kothi print out marandratha.,Kothi print out marandratha.
ham,profesor_x88_1@hotmail.com,But we havent got da...,But we havent got da topic yet rite?
ham,luis13_3@gmail.com,Ok no problem... Yup i'm...,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
ham,carlos65_1@gmail.com,"Thanks, I'll keep that in...","Thanks, I'll keep that in mind"
ham,sofia24_2@hotmail.com,Aah bless! How's your arm?,Aah bless! How's your arm?
ham,profesor_x22_5@outlook.es,"Dear Sir,Salam Alaikkum.Pride and Pleasure...","Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
ham,secretaria59_1@outlook.es,Gal n boy walking in...,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
ham,luis68_1@trabajo.com,What makes you most happy?,What makes you most happy?
ham,secretaria76_1@uni.edu,Wishing you a wonderful week.,Wishing you a wonderful week.
ham,profesor_x48_1@gmail.com,Sweet heart how are you?,Sweet heart how are you?
ham,jefe31_3@uni.edu,"Sir, waiting for your letter.","Sir, waiting for your letter."
ham,jefe36_1@outlook.es,Dude im no longer a...,Dude im no longer a pisces. Im an aquarius now.
ham,profesor_x18@outlook.es,X course it 2yrs. Just...,X course it 2yrs. Just so her messages on messenger lik you r sending me
ham,sofia42_1@outlook.es,I think steyn surely get...,I think steyn surely get one wicket:)
ham,sofia88_2@trabajo.com,Neither [in sterm voice] -...,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
ham,jefe46_1@uni.edu,"Garbage bags, eggs, jam, bread,...","Garbage bags, eggs, jam, bread, hannaford wheat chex"
ham,ana55@trabajo.com,No. It's not pride. I'm...,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
ham,luis79_3@trabajo.com,Sounds better than my evening...,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,sofia59_4@gmail.com,My birthday is on feb...,My birthday is on feb  &lt;#&gt;  da. .
ham,sofia35_2@gmail.com,So when do you wanna...,So when do you wanna gym?
ham,luis10_1@trabajo.com,You'd like that wouldn't you?...,You'd like that wouldn't you? Jerk!
ham,sofia28_1@uni.edu,Are u awake? Is there...,Are u awake? Is there snow there?
ham,luis12@trabajo.com,And of course you should...,And of course you should make a stink!
spam,servicio_seguridad_158@alerta-oficial.net,Exclusive Free Offer! (ID: 717),"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,luis27@gmail.com,No go. No openings for...,No go. No openings for that room 'til after thanksgiving without an upcharge.
ham,ana48_2@hotmail.com,When you guys planning on...,When you guys planning on coming over?
ham,sofia60_1@outlook.es,Wat ü doing now?,Wat ü doing now?
ham,profesor_x64_6@outlook.es,"My Parents, My Kidz, My...","My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,sofia45_1@uni.edu,No sir. That's why i...,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
ham,profesor_x19_1@trabajo.com,Do I? I thought I...,Do I? I thought I put it back in the box
ham,carlos98@gmail.com,I'm home...,I'm home...
ham,profesor_x51@hotmail.com,No one interested. May be...,No one interested. May be some business plan.
ham,ana89_2@gmail.com,Yup it's at paragon... I...,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,jefe67_4@outlook.es,Good morning princess! Have a...,Good morning princess! Have a great day!
ham,carlos25_2@uni.edu,Guai... Ü shd haf seen...,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...
ham,profesor_x30_3@outlook.es,Aiyo cos i sms ü...,Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.
ham,jefe29_2@gmail.com,Living is very simple.. Loving...,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
ham,sofia22_1@gmail.com,Tell me something. Thats okay.,Tell me something. Thats okay.
ham,luis35_2@trabajo.com,Ok,Ok
ham,carlos28_2@trabajo.com,Hmm. Shall i bring a...,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
ham,sofia97_1@trabajo.com,This is ur face test...,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
ham,ana91_1@trabajo.com,"Hey, iouri gave me your...","Hey, iouri gave me your number, I'm wylie, ryan's friend"
ham,sofia31@hotmail.com,Yep get with the program....,Yep get with the program. You're slacking.
ham,jefe52_1@trabajo.com,I'm in inside office..still filling...,I'm in inside office..still filling forms.don know when they leave me.
ham,secretaria15_3@outlook.es,I think your mentor is...,"I think your mentor is , but not 100 percent sure."
spam,ganador_loto_140@felicidades.info,URGENT ALERT: Immediate Action Required (ID: 718),Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
spam,paypal_support_142@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 719),Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
spam,ganador_loto_141@felicidades.info,Congratulations! You Have Won a Prize (ID: 720),A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
ham,secretaria61_3@hotmail.com,Just trying to figure out...,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
spam,noresponder_132@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 721),IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,jefe92_1@trabajo.com,Hi mom we might be...,Hi mom we might be back later than  &lt;#&gt;
spam,noresponder_133@notificacion-urgente.org,New Spam Message - Important (ID: 722),dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,secretaria24_2@outlook.es,"Lol, oh you got a...","Lol, oh you got a friend for the dog ?"
ham,ana57_1@uni.edu,"Ok., is any problem to...","Ok., is any problem to u frm him? Wats matter?"
ham,sofia96_3@trabajo.com,K I'll head out in...,"K I'll head out in a few mins, see you there"
ham,carlos47_4@trabajo.com,Do u konw waht is...,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,secretaria51_1@trabajo.com,I cant pick the phone...,I cant pick the phone right now. Pls send a message
ham,profesor_x69_2@trabajo.com,I don't want you to...,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
spam,ganador_loto_142@felicidades.info,New Spam Message - Important (ID: 723),The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
spam,noresponder_134@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 724),"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,ana32_1@trabajo.com,Somebody set up a website...,Somebody set up a website where you can play hold em using eve online spacebucks
ham,ana69@trabajo.com,Its sunny in california. The...,Its sunny in california. The weather's just cool
spam,paypal_support_143@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 725),You have 1 new message. Call 0207-083-6089
ham,secretaria31_3@hotmail.com,I can make it up...,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
ham,jefe14_2@uni.edu,Good day to You too.Pray...,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
ham,luis37@trabajo.com,How are you babes. Hope...,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.I’m knackered and i’m dreading work tonight. What are thou upto tonight. X
ham,carlos47_1@gmail.com,How do friends help us...,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,profesor_x12@gmail.com,I'm at work. Please call,I'm at work. Please call
ham,sofia23_4@hotmail.com,I will be gentle baby!...,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...
ham,jefe29_3@gmail.com,NOT MUCH NO FIGHTS. IT...,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
ham,jefe73@trabajo.com,Ok.ok ok..then..whats ur todays plan,Ok.ok ok..then..whats ur todays plan
ham,secretaria35_3@outlook.es,Nt joking seriously i told,Nt joking seriously i told
ham,jefe73@gmail.com,Watching ajith film ah?,Watching ajith film ah?
ham,luis85@trabajo.com,Ooooooh I forgot to tell...,Ooooooh I forgot to tell u I can get on yoville on my phone
ham,jefe72_4@outlook.es,"All done, all handed in....","All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
ham,luis40_3@hotmail.com,I dont know exactly could...,I dont know exactly could you ask chechi.
ham,luis92_2@trabajo.com,Dunno lei shd b driving...,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,profesor_x76_2@gmail.com,As in i want custom...,As in i want custom officer discount oh.
ham,luis39_3@hotmail.com,That's necessarily respectful,That's necessarily respectful
ham,secretaria58_1@hotmail.com,Hi. Hope you had a...,Hi. Hope you had a good day. Have a better night.
ham,luis18_3@gmail.com,And he's apparently bffs with...,And he's apparently bffs with carly quick now
ham,jefe27@hotmail.com,HARD BUT TRUE: How much...,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...
